TID items
T1 floralTop,jeans,studs
T2 tankTop,trackPant,ring
T3 kurti,leggings
T4 kurti,leggings,longEarings
T5 formalShirt,formalPant,watch,studs
T6 floralTop,skirt,necklace
T7 coldShoulderTop,jeans
T8 kurti,leggings,floralTop,jeans
T9 tankTop,trackPant,watch
T10 floralTop,skirt,necklace
T11 tankTop,trackPant
T12 kurti,leggings,longEarings
T13 floralTop,skirt,necklace
T14 formalShirt,formalPant,watch
T15 floralTop,trackPant,formalPant
T16 kurti,leggings,longEarings
T17 kurti,leggings,studs
T18 kurti,leggings,longEarings,formalShirt,formalPant,watch
T19 formalShirt,formalPant,watch
T20 jeans,longSkirt,watch
